"Time","Value"
1734707610000,690
1734707610500,
1734707611000,
1734707611500,
1734707612000,691
1734707612500,
1734707613000,
1734707613500,691
1734707614000,
1734707614500,
1734707615000,
1734707615500,691
1734707616000,
1734707616500,
1734707617000,
1734707617500,689
1734707618000,
1734707618500,
1734707619000,
1734707619500,689
1734707620000,
1734707620500,
1734707621000,
1734707621500,691
1734707622000,
1734707622500,
1734707623000,689
1734707623500,
1734707624000,
1734707624500,
1734707625000,691
1734707625500,
1734707626000,
1734707626500,
1734707627000,691
1734707627500,
1734707628000,
1734707628500,
1734707629000,690
1734707629500,
1734707630000,
1734707630500,
1734707631000,
1734707631500,
1734707632000,690
1734707632500,688
1734707633000,
1734707633500,
1734707634000,
1734707634500,689
1734707635000,
1734707635500,
1734707636000,
1734707636500,690
1734707637000,
1734707637500,
1734707638000,
1734707638500,690
1734707639000,
1734707639500,
1734707640000,
1734707640500,689
1734707641000,
1734707641500,
1734707642000,689
1734707642500,
1734707643000,
1734707643500,
1734707644000,689
1734707644500,
1734707645000,
1734707645500,
1734707646000,692
1734707646500,
1734707647000,
1734707647500,
1734707648000,691
1734707648500,
1734707649000,
1734707649500,
1734707650000,690
1734707650500,
1734707651000,
1734707651500,691
1734707652000,
1734707652500,
1734707653000,
1734707653500,692
1734707654000,
1734707654500,
1734707655000,
1734707655500,691
1734707656000,
1734707656500,
1734707657000,
1734707657500,689
1734707658000,
1734707658500,
1734707659000,
1734707659500,687
1734707660000,
1734707660500,
1734707661000,689
1734707661500,
1734707662000,
1734707662500,
1734707663000,689
1734707663500,
1734707664000,
1734707664500,
1734707665000,691
1734707665500,
1734707666000,
1734707666500,
1734707667000,691
1734707667500,
1734707668000,
1734707668500,
1734707669000,689
1734707669500,
1734707670000,
1734707670500,691
1734707671000,
1734707671500,
1734707672000,
1734707672500,691
1734707673000,
1734707673500,
1734707674000,
1734707674500,693
1734707675000,
1734707675500,
1734707676000,
1734707676500,691
1734707677000,
1734707677500,
1734707678000,
1734707678500,690
1734707679000,
1734707679500,
1734707680000,692
1734707680500,
1734707681000,
1734707681500,
1734707682000,689
1734707682500,
1734707683000,
1734707683500,
1734707684000,689
1734707684500,
1734707685000,
1734707685500,
1734707686000,690
1734707686500,
1734707687000,
1734707687500,
1734707688000,689
1734707688500,
1734707689000,
1734707689500,691
1734707690000,
1734707690500,
1734707691000,
1734707691500,691
1734707692000,
1734707692500,
1734707693000,
1734707693500,691
1734707694000,
1734707694500,
1734707695000,
1734707695500,690
1734707696000,
1734707696500,
1734707697000,
1734707697500,689
1734707698000,
1734707698500,
1734707699000,691
1734707699500,
1734707700000,
1734707700500,
1734707701000,690
1734707701500,
1734707702000,
1734707702500,
1734707703000,692
1734707703500,
1734707704000,
1734707704500,
1734707705000,691
1734707705500,
1734707706000,
1734707706500,
1734707707000,691
1734707707500,
1734707708000,
1734707708500,691
1734707709000,
1734707709500,
1734707710000,
1734707710500,689
1734707711000,
1734707711500,
1734707712000,
1734707712500,690
1734707713000,
1734707713500,
1734707714000,
1734707714500,691
1734707715000,
1734707715500,
1734707716000,
1734707716500,691
1734707717000,
1734707717500,
1734707718000,689
1734707718500,
1734707719000,
1734707719500,
1734707720000,689
1734707720500,
1734707721000,
1734707721500,
1734707722000,689
1734707722500,
1734707723000,
1734707723500,
1734707724000,689
1734707724500,
1734707725000,
1734707725500,
1734707726000,691
1734707726500,
1734707727000,
1734707727500,692
1734707728000,
1734707728500,
1734707729000,
1734707729500,691
1734707730000,
1734707730500,
1734707731000,
1734707731500,690
1734707732000,
1734707732500,
1734707733000,
1734707733500,691
1734707734000,
1734707734500,
1734707735000,
1734707735500,689
1734707736000,
1734707736500,
1734707737000,691
1734707737500,
1734707738000,
1734707738500,
